"Metering point","OBIS code","Unit","Started at","Value (1-65:1.29.9)","Interval length (min)","Estimated/measured/edited","Version"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T13:30:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T13:45:00+01:00","0.455","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T14:00:00+01:00","8.840","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T14:15:00+01:00","7.960","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T14:30:00+01:00","6.350","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T14:45:00+01:00","0.075","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T15:00:00+01:00","1.509","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T15:15:00+01:00","2.529","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T15:30:00+01:00","2.008","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T15:45:00+01:00","0.854","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T16:00:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T16:15:00+01:00","0.216","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T16:30:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T16:45:00+01:00","0.715","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T17:00:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T17:15:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T17:30:00+01:00","8.776","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T17:45:00+01:00","37.600","15","Measured","24"
